# ------------------------------------
# Object Data
# 전투 맵 오브젝트 데이터 테이블
# 양식.
# 1.ObjectID
# 2.TextureName
# 3.Width
# 4.Height
# ------------------------------------
# *** 양식 기입 시 주의 사항 ***
# 오브젝트 추가 시 ID 값을 적은 뒤 Tab을 한 뒤에
# 텍스쳐 이름을 넣을 것
# Space(공백)을 넣을 시 에러 발생
# ------------------------------------
# 줄바꿈(Enter) 및 "#"을 이용한 주석문은
# 엔진에서 Load하지 않음
# "#"을 이용한 주석문을 데이터와
# 같은 라인에 적지 말 것
# ------------------------------------
# 텍스쳐 이름 입력 후 width/ height 값은
# 꼭 space를 이용하여 띄워 쓴 후 입력 할 것
# ------------------------------------

+ 152	T_isle_small02-32 256 128
+ 151	T_isle_small02-31 256 128
+ 150	T_isle_small02-22 256 128
+ 149	T_isle_small02-21 256 128
+ 148	T_isle_small02-12 256 128
+ 147	T_isle_small02-11 256 128

+ 146	T_isle_small01-32 256 128
+ 145	T_isle_small01-31 256 128
+ 144	T_isle_small01-22 256 128
+ 143	T_isle_small01-21 256 128
+ 142	T_isle_small01-12 256 128
+ 141	T_isle_small01-11 256 128

+ 140	T_isle_small02--1-32 256 128
+ 139	T_isle_small02--1-31 256 128
+ 138	T_isle_small02--1-22 256 128
+ 137	T_isle_small02--1-21 256 128
+ 136	T_isle_small02--1-12 256 128
+ 135	T_isle_small02--1-11 256 128

+ 134	T_isle_small01--1-22 256 128
+ 133	T_isle_small01--1-21 256 128
+ 132	T_isle_small01--1-12 256 128
+ 131	T_isle_small01--1-11 256 128

+ 130	ssmall-island14 256 128
+ 129	ssmall-island13 256 128
+ 128	ssmall-island12 256 128
+ 127	ssmall-island11 256 128
+ 126	ssmall-island10 256 128
+ 125	ssmall-island09 256 128
+ 124	ssmall-island08 256 128
+ 123	ssmall-island07 256 128
+ 122	ssmall-island06 256 128
+ 121	ssmall-island05 256 128
+ 120	ssmall-island04 256 128
+ 119	ssmall-island03 256 128
+ 118	ssmall-island02 256 128
+ 117	ssmall-island01 256 128

+ 116	small_isle02 128 128
+ 115	small_isle01 256 128

+ 114	small_islands02_22 256 128
+ 113	small_islands02_21 256 128
+ 112	small_islands02_12 256 128
+ 111	small_islands02_11 256 128
+ 110	small_islands01_02 256 128
+ 109	small_islands01_01 256 128

+ 108	wst-bi_05 256 128
+ 107	wst-bi_04 256 128
+ 106	wst-bi_03 256 128
+ 105	wst-bi_02 256 128
+ 104	wst-bi_01 256 128

+ 103	crescent02-53 256 88
+ 102	crescent02-52 256 88
+ 101	crescent02-51 256 88
+ 100	crescent02-43 256 128
+ 99	crescent02-42 256 128
+ 98	crescent02-41 256 128
+ 97	crescent02-33 256 128
+ 96	crescent02-32 256 128
+ 95	crescent02-31 256 128
+ 94	crescent02-23 256 128
+ 93	crescent02-22 256 128
+ 92	crescent02-21 256 128
+ 91	crescent02-13 256 128
+ 90	crescent02-12 256 128
+ 89	crescent02-11 256 128

+ 88	crescent01-52 256 88
